full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
33573.27,440112,23.193027,113.437511,residential,,10404.0,3.2269579008073817,973.0,,81755.0,4073.4761904761904,2026-08-30,2023-12-31,20608.0
33000.0,440112,23.203553,113.549593,public,,,,820.0,,,3943.266666666667,2026-05-07,2024-02-07,16136.4033
27114.76,440112,23.068565,113.539065,industrial,2.0,11311.93,2.3970056391791674,61.0,,,3768.15,2024-06-29,2024-04-29,13796.79
803.0,440112,23.187673,113.473533,residential,1.0,,,61.0,,,3795.3333333333335,2024-05-31,2024-03-31,5754.56
3257.0,440106,23.126006,113.317848,mixed use,,3257.0,1.0,549.0,,,3795.3333333333335,2025-09-19,2024-03-19,46000.0
5240.0,440114,23.411676,113.210848,public,3.0,,,385.0,,,3848.55,2025-05-29,2024-05-09,23100.0
215398.95,440112,23.124826,113.525977,industrial,,72296.0,2.979403424809118,183.0,,,3768.15,2024-10-19,2024-04-19,7000.0
11845.83,440115,22.848118,113.388524,industrial,1.0,1380.0,8.583934782608695,335.0,,,3768.15,2025-03-31,2024-04-30,1931.0
7900.0,440113,22.952868,113.37221,public,1.0,5148.0,1.5345765345765345,472.0,,,3768.15,2025-07-30,2024-04-14,5594.22
120000.0,440114,23.356708,113.14536,industrial,,30587.43,3.9231802083404848,399.0,,78409.0,3974.619047619048,2023-08-30,2022-07-27,30000.0
62550.0,440114,23.465977,113.173909,industrial,6.0,32258.17,1.9390436593272342,730.0,,,3943.266666666667,2026-02-27,2024-02-28,11600.0
73839.24,440114,23.435945,113.401569,industrial,2.0,20826.35,3.5454719622017303,548.0,,,3768.15,2025-10-29,2024-04-29,20000.0
3810.0,440114,23.415113,113.307824,industrial,1.0,3393.72,1.1226618577843783,0.0,,76064.0,4558.782608695652,2021-12-27,2021-12-27,11068.0
47640.86,440112,23.066731,113.37688,industrial,,15288.0,3.1162257980115124,920.0,,81755.0,3975.090909090909,2026-06-07,2023-11-30,42037.59
3162.53,440113,22.966772,113.478118,public,1.0,1148.68,2.753186265974858,300.0,,,3943.266666666667,2024-12-25,2024-02-29,1773.54
4578.0,440113,22.916815,113.371566,public,1.0,1023.4,4.4733242134062925,731.0,,81755.0,3885.857142857143,2025-07-12,2023-07-12,1973.23
36273.27,440114,23.385697,113.239217,industrial,1.0,,,729.0,,,3768.15,2026-04-14,2024-04-15,8900.0
30000.0,440105,23.098396,113.340299,residential,,23725.0,1.264,1090.0,,,3943.266666666667,2027-01-30,2024-02-05,1122.0
7265.49,440111,23.144992,113.245726,supporting facilities,1.0,9506.0,0.76,183.0,,,3943.266666666667,2024-08-30,2024-02-29,2374.86
36000.0,440115,22.713109,113.538971,public,,41464.0,0.8682230368512445,286.0,,,3768.15,2025-01-13,2024-04-02,36000.0
12727.0,440118,23.187207,113.849185,industrial,2.0,36120.1,0.35235229138346796,366.0,,81755.0,4073.4761904761904,2024-12-30,2023-12-30,1550.0
3320.0,440106,23.165005,113.34057,public,1.0,11114.0,0.29872233219362965,366.0,,81755.0,3975.090909090909,2024-11-30,2023-11-30,2000.0
21668.31,440113,23.017415,113.369753,public,1.0,,,800.0,,81755.0,3872.15,2025-12-08,2023-09-30,13167.39
5500.0,440114,23.418992,113.371131,residential,1.0,1465.0,3.7542662116040955,560.0,,,3778.8947368421054,2025-12-29,2024-06-17,2000.0
41838.43,440113,22.916064,113.516344,public,1.0,,,299.0,,,3943.266666666667,2024-12-20,2024-02-25,1992.99
60171.02,440115,22.827258,113.517449,industrial,1.0,13293.0,4.526519220642443,645.0,,,3795.3333333333335,2025-12-24,2024-03-19,35000.0
2460.36,440112,23.297338,113.515902,public,1.0,,,460.0,,,3848.55,2025-08-10,2024-05-07,1307.64
